congress,issue,mds
104,Public.Lands,1.009226749
105,Public.Lands,0.346521425
106,Public.Lands,0.842838348
107,Public.Lands,0.887943407
108,Public.Lands,1.135985094
109,Public.Lands,0.753784965
110,Public.Lands,0.626431959
111,Public.Lands,0.575016616
112,Public.Lands,0.272764839
113,Public.Lands,0.70786496
114,Public.Lands,0.439325358
80,Science.Technology,-0.55669272
81,Science.Technology,-0.553080458
82,Science.Technology,-0.525504558
83,Science.Technology,-0.607169523
84,Science.Technology,-0.664932748
85,Science.Technology,-0.633597763
86,Science.Technology,-0.451406086
87,Science.Technology,-0.494671637
88,Science.Technology,-0.600429559
89,Science.Technology,-0.666901612
90,Science.Technology,-0.760535065
91,Science.Technology,-0.63048412
92,Science.Technology,-0.659836009
93,Science.Technology,-0.748724369
94,Science.Technology,-0.632103212
95,Science.Technology,-0.845700414
96,Science.Technology,-0.969350259
97,Science.Technology,-0.874849391
98,Science.Technology,-0.826217349
99,Science.Technology,-0.824117818
100,Science.Technology,-0.804059496
101,Science.Technology,-0.769470371
102,Science.Technology,-0.71018277
103,Science.Technology,-0.773741668
104,Science.Technology,-0.690313096
105,Science.Technology,-0.436461768
106,Science.Technology,-0.524701162
107,Science.Technology,-0.670198067
108,Science.Technology,-0.598278398
109,Science.Technology,-0.661065725
110,Science.Technology,-0.682941773
111,Science.Technology,-0.6235918
112,Science.Technology,-0.562709862
113,Science.Technology,-0.666771335
114,Science.Technology,-0.657835557
80,Trade,-0.398567804
81,Trade,-0.410174959
82,Trade,-0.305781398
83,Trade,-0.25192311
84,Trade,-0.400300933
85,Trade,-0.199817606
86,Trade,-0.308298873
87,Trade,-0.191694787
88,Trade,0.052167479
89,Trade,-0.340857515
90,Trade,0.058336112
91,Trade,-0.09474972
92,Trade,-0.56690136
93,Trade,-0.600906919
94,Trade,-0.608085992
95,Trade,-0.619457323
96,Trade,-0.461365712
97,Trade,-0.31143394
98,Trade,-0.057540921
99,Trade,0.265334308
100,Trade,0.444669267
101,Trade,0.909704133
102,Trade,1.110274215
103,Trade,0.499061189
104,Trade,-0.435382119
105,Trade,2.645250508
106,Trade,0.408828803
107,Trade,1.077287181
108,Trade,-0.215720275
109,Trade,1.488480675
110,Trade,1.434108809
111,Trade,-0.557352913
112,Trade,2.501481857
113,Trade,-0.721320394
114,Trade,-0.754643873
80,Transportation,0.00139522
81,Transportation,-0.01040135
82,Transportation,0.026092125
83,Transportation,0.082426455
84,Transportation,0.022022442
85,Transportation,0.352424601
86,Transportation,0.407237193
87,Transportation,0.480951931
88,Transportation,0.241501188
89,Transportation,0.56730184
90,Transportation,0.242412939
91,Transportation,0.308157969
92,Transportation,0.384411503
93,Transportation,0.1120949
94,Transportation,0.046383256
95,Transportation,0.001308844
96,Transportation,-0.133426321
97,Transportation,-0.079845993
98,Transportation,0.131333858
99,Transportation,0.285416375
100,Transportation,0.180710341
101,Transportation,0.120038285
102,Transportation,0.198000265
103,Transportation,0.166645323
104,Transportation,0.174452766
105,Transportation,-0.205904035
106,Transportation,-0.373207264
107,Transportation,-0.370403758
108,Transportation,-0.134958005
109,Transportation,-0.295322009
110,Transportation,-0.489981433
111,Transportation,-0.311322765
112,Transportation,-0.169683735
113,Transportation,-0.383116227
114,Transportation,-0.10003526
80,Welfare,-0.298577048
81,Welfare,-0.332390954
82,Welfare,-0.205074949
83,Welfare,-0.003482808
84,Welfare,-0.099418185
85,Welfare,0.127695122
86,Welfare,0.113955744
87,Welfare,-0.104041107
88,Welfare,-0.056598694
89,Welfare,0.101311876
90,Welfare,0.212635805
91,Welfare,0.333247458
92,Welfare,0.4165162
93,Welfare,0.278751829
94,Welfare,0.544740574
95,Welfare,0.794094552
96,Welfare,0.512807185
97,Welfare,0.407525655
98,Welfare,0.258714524
99,Welfare,-0.015814628
100,Welfare,-0.139086049
101,Welfare,-0.279332948
102,Welfare,-0.317454971
103,Welfare,-0.296987333
104,Welfare,-0.460375352
105,Welfare,-0.356565524
106,Welfare,-0.524701162
107,Welfare,-0.480854293
108,Welfare,-0.594027753
109,Welfare,-0.622566386
110,Welfare,-0.652619434
111,Welfare,-0.475342864
112,Welfare,-0.459158068
113,Welfare,-0.503124157
114,Welfare,-0.422729646
